#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(97.03674247047275-11.18223190306364j)	(86.28149414060907-76.21306124601816j)	(97.19872422652729-10.95481413057273j)	(57.01091072771819+4.544711979949091j)	
(118.92603510045458+8.024054267193637j)	(169.5767114810909-82.29923803156365j)	(118.91362901136362+8.435643456199092j)	(64.83496093753637-0.14695481956045459j)	
(55.44431200892726+23.091498981845454j)	(111.85379167063641+54.95938699895453j)	(55.30185248637272+23.144072099163644j)	(38.75662543560909-0.6062675010079092j)	
(35.48059394143636+25.183388276518176j)	(34.369476665145456+58.75030136108182j)	(35.386272083627276+25.183550921354545j)	(37.34717213026364+1.8139240416636366j)	
(48.96167338975455+33.0463509993j)	(34.45654504950908+68.08409326729091j)	(48.84744332053636+32.959570797999994j)	(67.31409315626364-0.5884543765671819j)	
(45.80723086274546+11.585235335609088j)	(36.68530481514545+40.1388837641091j)	(45.70643477005453+11.568775350381818j)	(65.39538296783637-15.47626079212727j)	
(18.384136373381814+2.4985226934618177j)	(8.100462480023635+10.833543517363639j)	(18.34254975754545+2.4414499022718172j)	(35.0104418668-1.61810739474j)	
(21.019229542081824+2.4986565329790915j)	(8.681031573905457+5.7591512853463644j)	(21.0422365015+2.437877178193637j)	(36.015834114781825+9.630176197399093j)	
(51.64626693727272-19.161322333627268j)	(23.776183215063632-13.313158382054546j)	(51.721559697927276-19.278708371245454j)	(76.94577095725454+10.043873786963639j)	
(44.21836055407271-56.724889235045445j)	(10.873988498336365-45.614715923000006j)	(44.27608177882727-56.86351290617274j)	(73.74472323333637-22.991261222154545j)	
(30.111202239990906-26.783750707418182j)	(8.792530406607273-33.57104908339092j)	(30.196109424972732-26.79722248424546j)	(30.307178323945458-4.382279872890909j)	
(49.49055897107273+0.7461611195045457j)	(41.64271163939999-34.19918823244546j)	(49.61482758957272+0.8041446100578181j)	(27.756927490236354+11.876911596809093j)	
(156.64195112781817+60.00342490456364j)	(338.4040971235454-203.97652227218182j)	(156.48266185399999+60.68220693419093j)	(75.46092987060906+22.548183441190915j)	
