#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11m	S11o	S11l	S11s
(4481100000+0j)	(55.2734794617-30.0797939301j)	(55.2734794617-30.0797939301j)	(55.2734794617-30.0797939301j)	(55.2734794617-30.0797939301j)	
(4531000000+0j)	(35.44965362549999-4.933362483979999j)	(35.44965362549999-4.933362483979999j)	(35.44965362549999-4.933362483979999j)	(35.44965362549999-4.933362483979999j)	
(4580900000+0j)	(36.30305862429999+17.554082870499997j)	(36.30305862429999+17.554082870499997j)	(36.30305862429999+17.554082870499997j)	(36.30305862429999+17.554082870499997j)	
(4630800000+0j)	(69.8604736328+10.007961273199998j)	(69.8604736328+10.007961273199998j)	(69.8604736328+10.007961273199998j)	(69.8604736328+10.007961273199998j)	
(4680700000+0j)	(61.49068069459999-23.183719634999996j)	(61.49068069459999-23.183719634999996j)	(61.49068069459999-23.183719634999996j)	(61.49068069459999-23.183719634999996j)	
(4730600000+0j)	(38.26924133299999-5.811749935149999j)	(38.26924133299999-5.811749935149999j)	(38.26924133299999-5.811749935149999j)	(38.26924133299999-5.811749935149999j)	
(4780500000+0j)	(33.96919250489999+12.982398986800002j)	(33.96919250489999+12.982398986800002j)	(33.96919250489999+12.982398986800002j)	(33.96919250489999+12.982398986800002j)	
(4830400000+0j)	(58.33905029299999+9.65308952332j)	(58.33905029299999+9.65308952332j)	(58.33905029299999+9.65308952332j)	(58.33905029299999+9.65308952332j)	
(4880300000+0j)	(64.54824066159999-17.845182418799997j)	(64.54824066159999-17.845182418799997j)	(64.54824066159999-17.845182418799997j)	(64.54824066159999-17.845182418799997j)	
(4930200000+0j)	(42.140121459999996-7.820552349089998j)	(42.140121459999996-7.820552349089998j)	(42.140121459999996-7.820552349089998j)	(42.140121459999996-7.820552349089998j)	
(4980100000+0j)	(38.225341796900004+8.344803810119998j)	(38.225341796900004+8.344803810119998j)	(38.225341796900004+8.344803810119998j)	(38.225341796900004+8.344803810119998j)	
(5030000000+0j)	(54.567024230999984+2.86774635315j)	(54.567024230999984+2.86774635315j)	(54.567024230999984+2.86774635315j)	(54.567024230999984+2.86774635315j)	
(5079900000+0j)	(61.07146072390001-10.377660751299999j)	(61.07146072390001-10.377660751299999j)	(61.07146072390001-10.377660751299999j)	(61.07146072390001-10.377660751299999j)	
(5129800000+0j)	(49.9683189392+0.6463637351990003j)	(49.9683189392+0.6463637351990003j)	(49.9683189392+0.6463637351990003j)	(49.9683189392+0.6463637351990003j)	
(5179700000+0j)	(44.985004425+7.769104003909999j)	(44.985004425+7.769104003909999j)	(44.985004425+7.769104003909999j)	(44.985004425+7.769104003909999j)	
(5229600000+0j)	(47.75520706179999-3.88599872589j)	(47.75520706179999-3.88599872589j)	(47.75520706179999-3.88599872589j)	(47.75520706179999-3.88599872589j)	
(5279500000+0j)	(50.882392883299985-5.359820365910001j)	(50.882392883299985-5.359820365910001j)	(50.882392883299985-5.359820365910001j)	(50.882392883299985-5.359820365910001j)	
(5329400000+0j)	(48.6956634521+8.717326164249998j)	(48.6956634521+8.717326164249998j)	(48.6956634521+8.717326164249998j)	(48.6956634521+8.717326164249998j)	
(5379300000+0j)	(52.51284408569999+7.665990829470002j)	(52.51284408569999+7.665990829470002j)	(52.51284408569999+7.665990829470002j)	(52.51284408569999+7.665990829470002j)	
(5429200000+0j)	(45.684207916300004-13.981966972399997j)	(45.684207916300004-13.981966972399997j)	(45.684207916300004-13.981966972399997j)	(45.684207916300004-13.981966972399997j)	
(5479100000+0j)	(42.82482910160001-9.707886695859997j)	(42.82482910160001-9.707886695859997j)	(42.82482910160001-9.707886695859997j)	(42.82482910160001-9.707886695859997j)	
(5529000000+0j)	(48.6655845642+16.623693466199995j)	(48.6655845642+16.623693466199995j)	(48.6655845642+16.623693466199995j)	(48.6655845642+16.623693466199995j)	
(5578900000+0j)	(59.515476226800004+12.872273445100001j)	(59.515476226800004+12.872273445100001j)	(59.515476226800004+12.872273445100001j)	(59.515476226800004+12.872273445100001j)	
(5628800000+0j)	(50.603012084999996-16.674772262600005j)	(50.603012084999996-16.674772262600005j)	(50.603012084999996-16.674772262600005j)	(50.603012084999996-16.674772262600005j)	
(5678700000+0j)	(39.034214019800004-13.015229225199997j)	(39.034214019800004-13.015229225199997j)	(39.034214019800004-13.015229225199997j)	(39.034214019800004-13.015229225199997j)	
(5728600000+0j)	(42.15046691890001+19.3270015717j)	(42.15046691890001+19.3270015717j)	(42.15046691890001+19.3270015717j)	(42.15046691890001+19.3270015717j)	
(5778500000+0j)	(58.58534622189999+20.996116638199997j)	(58.58534622189999+20.996116638199997j)	(58.58534622189999+20.996116638199997j)	(58.58534622189999+20.996116638199997j)	
(5828400000+0j)	(48.44638824460001-21.254362106299997j)	(48.44638824460001-21.254362106299997j)	(48.44638824460001-21.254362106299997j)	(48.44638824460001-21.254362106299997j)	
(5878300000+0j)	(39.53364944460001-11.022281646699998j)	(39.53364944460001-11.022281646699998j)	(39.53364944460001-11.022281646699998j)	(39.53364944460001-11.022281646699998j)	
(5928200000+0j)	(43.2227401733+8.250208854679999j)	(43.2227401733+8.250208854679999j)	(43.2227401733+8.250208854679999j)	(43.2227401733+8.250208854679999j)	
(5978100000+0j)	(54.441879272499996+24.1539478302j)	(54.441879272499996+24.1539478302j)	(54.441879272499996+24.1539478302j)	(54.441879272499996+24.1539478302j)	
(6028000000+0j)	(53.3640060425-14.150922775299998j)	(53.3640060425-14.150922775299998j)	(53.3640060425-14.150922775299998j)	(53.3640060425-14.150922775299998j)	
(6077900000+0j)	(41.24020767209999-18.115362167400004j)	(41.24020767209999-18.115362167400004j)	(41.24020767209999-18.115362167400004j)	(41.24020767209999-18.115362167400004j)	
(6127800000+0j)	(44.89978408809999+11.4994001389j)	(44.89978408809999+11.4994001389j)	(44.89978408809999+11.4994001389j)	(44.89978408809999+11.4994001389j)	
(6177700000+0j)	(54.4126968384+22.179605484000003j)	(54.4126968384+22.179605484000003j)	(54.4126968384+22.179605484000003j)	(54.4126968384+22.179605484000003j)	
(6227600000+0j)	(52.187644958499995-8.79826164246j)	(52.187644958499995-8.79826164246j)	(52.187644958499995-8.79826164246j)	(52.187644958499995-8.79826164246j)	
(6277500000+0j)	(40.8568000793-14.968560218800002j)	(40.8568000793-14.968560218800002j)	(40.8568000793-14.968560218800002j)	(40.8568000793-14.968560218800002j)	
(6327400000+0j)	(47.50387954709999+8.75972652435j)	(47.50387954709999+8.75972652435j)	(47.50387954709999+8.75972652435j)	(47.50387954709999+8.75972652435j)	
(6377300000+0j)	(54.89439010619999+18.8534317017j)	(54.89439010619999+18.8534317017j)	(54.89439010619999+18.8534317017j)	(54.89439010619999+18.8534317017j)	
(6427200000+0j)	(46.893428802500004-10.5288934708j)	(46.893428802500004-10.5288934708j)	(46.893428802500004-10.5288934708j)	(46.893428802500004-10.5288934708j)	
(6477100000+0j)	(38.2612533569-12.037014961200002j)	(38.2612533569-12.037014961200002j)	(38.2612533569-12.037014961200002j)	(38.2612533569-12.037014961200002j)	
(6527000000+0j)	(51.48044204709999+10.214729309100003j)	(51.48044204709999+10.214729309100003j)	(51.48044204709999+10.214729309100003j)	(51.48044204709999+10.214729309100003j)	
(6576900000+0j)	(67.5184326172+15.917048454299996j)	(67.5184326172+15.917048454299996j)	(67.5184326172+15.917048454299996j)	(67.5184326172+15.917048454299996j)	
(6626800000+0j)	(45.430805206300015-9.81003952026j)	(45.430805206300015-9.81003952026j)	(45.430805206300015-9.81003952026j)	(45.430805206300015-9.81003952026j)	
(6676700000+0j)	(36.1457443237-8.257802963259998j)	(36.1457443237-8.257802963259998j)	(36.1457443237-8.257802963259998j)	(36.1457443237-8.257802963259998j)	
(6726600000+0j)	(55.263156890899985+13.923186302199998j)	(55.263156890899985+13.923186302199998j)	(55.263156890899985+13.923186302199998j)	(55.263156890899985+13.923186302199998j)	
(6776500000+0j)	(65.46966552729998+16.547246932999997j)	(65.46966552729998+16.547246932999997j)	(65.46966552729998+16.547246932999997j)	(65.46966552729998+16.547246932999997j)	
(6826400000+0j)	(44.6797294617-9.15258789063j)	(44.6797294617-9.15258789063j)	(44.6797294617-9.15258789063j)	(44.6797294617-9.15258789063j)	
(6876300000+0j)	(32.030906677199994-8.153413772579999j)	(32.030906677199994-8.153413772579999j)	(32.030906677199994-8.153413772579999j)	(32.030906677199994-8.153413772579999j)	
(6926200000+0j)	(51.877838134799994+10.401373863200002j)	(51.877838134799994+10.401373863200002j)	(51.877838134799994+10.401373863200002j)	(51.877838134799994+10.401373863200002j)	
(6976100000+0j)	(70.6179656982+13.587197303799996j)	(70.6179656982+13.587197303799996j)	(70.6179656982+13.587197303799996j)	(70.6179656982+13.587197303799996j)	
(7026000000+0j)	(44.984634399400015-9.08019828796j)	(44.984634399400015-9.08019828796j)	(44.984634399400015-9.08019828796j)	(44.984634399400015-9.08019828796j)	
(7075900000+0j)	(35.4476585388-7.743358135220001j)	(35.4476585388-7.743358135220001j)	(35.4476585388-7.743358135220001j)	(35.4476585388-7.743358135220001j)	
(7125800000+0j)	(54.9036521912+5.367737293239999j)	(54.9036521912+5.367737293239999j)	(54.9036521912+5.367737293239999j)	(54.9036521912+5.367737293239999j)	
(7175700000+0j)	(69.19692230219998+13.208231925999996j)	(69.19692230219998+13.208231925999996j)	(69.19692230219998+13.208231925999996j)	(69.19692230219998+13.208231925999996j)	
(7225600000+0j)	(46.34506225590001-3.233943700789999j)	(46.34506225590001-3.233943700789999j)	(46.34506225590001-3.233943700789999j)	(46.34506225590001-3.233943700789999j)	
(7275500000+0j)	(36.48582839969999-2.03081870079j)	(36.48582839969999-2.03081870079j)	(36.48582839969999-2.03081870079j)	(36.48582839969999-2.03081870079j)	
(7325400000+0j)	(57.18579864499999+4.619011878969999j)	(57.18579864499999+4.619011878969999j)	(57.18579864499999+4.619011878969999j)	(57.18579864499999+4.619011878969999j)	
(7375300000+0j)	(64.68167114259998+0.07866837084290002j)	(64.68167114259998+0.07866837084290002j)	(64.68167114259998+0.07866837084290002j)	(64.68167114259998+0.07866837084290002j)	
(7425200000+0j)	(38.599140167200005-0.6595537662510002j)	(38.599140167200005-0.6595537662510002j)	(38.599140167200005-0.6595537662510002j)	(38.599140167200005-0.6595537662510002j)	
(7475100000+0j)	(37.458129882799994+1.6249040365199996j)	(37.458129882799994+1.6249040365199996j)	(37.458129882799994+1.6249040365199996j)	(37.458129882799994+1.6249040365199996j)	
(7525000000+0j)	(67.62540435789998-0.5902197957039998j)	(67.62540435789998-0.5902197957039998j)	(67.62540435789998-0.5902197957039998j)	(67.62540435789998-0.5902197957039998j)	
(7574900000+0j)	(65.41555786129999-15.199399948099998j)	(65.41555786129999-15.199399948099998j)	(65.41555786129999-15.199399948099998j)	(65.41555786129999-15.199399948099998j)	
(7624800000+0j)	(34.85751342769999-1.61298882961j)	(34.85751342769999-1.61298882961j)	(34.85751342769999-1.61298882961j)	(34.85751342769999-1.61298882961j)	
(7674700000+0j)	(36.1297950745+9.516800880429999j)	(36.1297950745+9.516800880429999j)	(36.1297950745+9.516800880429999j)	(36.1297950745+9.516800880429999j)	
(7724600000+0j)	(77.28934478760003+10.134785652199996j)	(77.28934478760003+10.134785652199996j)	(77.28934478760003+10.134785652199996j)	(77.28934478760003+10.134785652199996j)	
(7774500000+0j)	(73.66951751709998-22.6091022491j)	(73.66951751709998-22.6091022491j)	(73.66951751709998-22.6091022491j)	(73.66951751709998-22.6091022491j)	
(7824400000+0j)	(30.126182556199996-4.306588172909999j)	(30.126182556199996-4.306588172909999j)	(30.126182556199996-4.306588172909999j)	(30.126182556199996-4.306588172909999j)	
(7874300000+0j)	(27.816972732499995+11.772699356100002j)	(27.816972732499995+11.772699356100002j)	(27.816972732499995+11.772699356100002j)	(27.816972732499995+11.772699356100002j)	
